shipment_id,order_id,tipo_promesa,nodo_origen,centro_fulfillment,centro_sortation,estacion_last_mile,carrier,region_destino,carril,fecha_pedido,fecha_prometida_entrega,fecha_entrega_real,flag_entregado_a_tiempo,flag_entrega_tardia,horas_retraso,costo_paquete,flag_contacto_cx,flag_reclamo,monto_compensacion
SHP000001,ORD000001,Standard,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_CDMX_SUR,Carrier_A,Bajio,CDMX-MTY,2026-03-08 00:49:26,2026-03-12 00:49:26,2026-03-09 17:41:15.919895,1,0,0.0,76.46,0,0,0
SHP000002,ORD000002,Standard,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_QRO,Carrier_B,CDMX,CDMX-MTY,2026-01-22 13:27:48,2026-01-26 13:27:48,2026-01-24 06:16:38.664781,1,0,0.0,78.67,0,0,0
SHP000003,ORD000003,Next Day,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_QRO,Carrier_A,Bajio,GDL-OCCIDENTE,2026-02-11 01:33:07,2026-02-12 01:33:07,2026-02-11 19:54:51.438434,1,0,0.0,89.97,0,0,0
SHP000004,ORD000004,Next Day,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_C,Jalisco,PUE-CDMX,2026-02-03 08:50:28,2026-02-04 08:50:28,2026-02-04 02:13:32.636085,1,0,0.0,70.72,0,0,0
SHP000005,ORD000005,Two Day,FC_GDL_01,FC_GDL_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_A,CDMX,QRO-CDMX,2026-03-24 14:48:18,2026-03-26 14:48:18,2026-03-26 09:20:58.019043,1,0,0.0,92.6,0,0,0
SHP000006,ORD000006,Two Day,FC_MTY_01,FC_MTY_01,SORT_CDMX_01,LM_PUE,Carrier_B,CDMX,PUE-CDMX,2026-01-08 23:37:03,2026-01-10 23:37:03,2026-01-10 22:26:22.438006,1,0,0.0,91.39,0,0,0
SHP000007,ORD000007,Two Day,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_QRO,Carrier_A,CDMX,CDMX-GDL,2026-03-06 12:51:18,2026-03-08 12:51:18,2026-03-08 00:11:43.185258,1,0,0.0,82.99,0,0,0
SHP000008,ORD000008,Next Day,FC_MTY_01,FC_MTY_01,SORT_CDMX_01,LM_CDMX_SUR,Carrier_D,Queretaro,MTY-CDMX,2026-02-14 08:31:21,2026-02-15 08:31:21,2026-02-15 01:29:50.589302,1,0,0.0,79.79,1,0,0
SHP000009,ORD000009,Standard,FC_MTY_01,FC_MTY_01,SORT_GDL_01,LM_GDL,Carrier_B,Bajio,MTY-CDMX,2026-03-10 11:21:35,2026-03-14 11:21:35,2026-03-12 07:21:24.021168,1,0,0.0,86.42,0,0,0
SHP000010,ORD000010,Standard,FC_CDMX_01,FC_CDMX_01,SORT_GDL_01,LM_QRO,Carrier_C,Jalisco,CDMX-BAJIO,2026-02-07 04:11:42,2026-02-11 04:11:42,2026-02-09 02:35:56.932838,1,0,0.0,72.51,0,0,0
SHP000011,ORD000011,Two Day,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_PUE,Carrier_B,Occidente,CDMX-GDL,2026-01-23 13:43:14,2026-01-25 13:43:14,2026-01-25 11:29:59.965989,1,0,0.0,79.81,0,0,0
SHP000012,ORD000012,Standard,FC_MTY_01,FC_MTY_01,SORT_QRO_01,LM_GDL,Carrier_A,Puebla,QRO-CDMX,2026-01-21 23:27:20,2026-01-25 23:27:20,2026-01-23 22:03:04.988643,1,0,0.0,97.23,0,0,0
SHP000013,ORD000013,Standard,FC_QRO_01,FC_QRO_01,SORT_QRO_01,LM_CDMX_SUR,Carrier_A,Jalisco,GDL-OCCIDENTE,2026-02-22 15:54:29,2026-02-26 15:54:29,2026-02-24 10:36:42.066285,1,0,0.0,83.39,0,1,75
SHP000014,ORD000014,Two Day,FC_PUE_01,FC_PUE_01,SORT_QRO_01,LM_QRO,Carrier_B,Jalisco,GDL-CDMX,2026-02-19 19:16:56,2026-02-21 19:16:56,2026-02-21 03:34:12.662582,1,0,0.0,77.59,0,0,0
SHP000015,ORD000015,Two Day,FC_CDMX_01,FC_CDMX_01,SORT_CDMX_01,LM_CDMX_SUR,Carrier_C,Occidente,PUE-CDMX,2026-02-28 05:44:01,2026-03-02 05:44:01,2026-03-02 00:03:04.113696,1,0,0.0,77.23,0,0,0
SHP000016,ORD000016,Next Day,FC_QRO_01,FC_QRO_01,SORT_QRO_01,LM_QRO,Carrier_A,Puebla,CDMX-GDL,2026-03-08 09:10:30,2026-03-09 09:10:30,2026-03-09 04:18:20.322836,1,0,0.0,92.05,0,0,0
SHP000017,ORD000017,Standard,FC_PUE_01,FC_PUE_01,SORT_MTY_01,LM_PUE,Carrier_B,Nuevo Leon,PUE-CDMX,2026-01-16 16:32:03,2026-01-20 16:32:03,2026-01-17 12:38:29.686430,1,0,0.0,86.34,0,0,0
SHP000018,ORD000018,Two Day,FC_MTY_01,FC_MTY_01,SORT_GDL_01,LM_QRO,Carrier_D,Occidente,MTY-CDMX,2026-03-24 01:13:54,2026-03-26 01:13:54,2026-03-25 14:04:59.548686,1,0,0.0,80.97,0,0,0
SHP000019,ORD000019,Standard,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_CDMX_SUR,Carrier_B,Jalisco,GDL-OCCIDENTE,2026-03-17 22:19:52,2026-03-21 22:19:52,2026-03-22 21:33:59.944967,0,1,23.24,66.72,0,0,0
SHP000020,ORD000020,Standard,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_MTY,Carrier_A,Nuevo Leon,MTY-CDMX,2026-01-24 13:57:51,2026-01-28 13:57:51,2026-01-26 04:56:50.057672,1,0,0.0,78.53,0,0,0
SHP000021,ORD000021,Next Day,FC_PUE_01,FC_PUE_01,SORT_CDMX_01,LM_CDMX_NORTE,Carrier_C,Occidente,CDMX-MTY,2026-03-16 04:19:53,2026-03-17 04:19:53,2026-03-17 02:13:15.109519,1,0,0.0,73.22,0,0,0
SHP000022,ORD000022,Two Day,FC_GDL_01,FC_GDL_01,SORT_GDL_01,LM_PUE,Carrier_B,Puebla,GDL-CDMX,2026-01-27 01:37:36,2026-01-29 01:37:36,2026-01-29 22:59:30.961212,0,1,21.37,85.15,0,0,0
SHP000023,ORD000023,Two Day,FC_PUE_01,FC_PUE_01,SORT_QRO_01,LM_CDMX_SUR,Carrier_D,Occidente,GDL-MTY,2026-03-11 13:17:29,2026-03-13 13:17:29,2026-03-13 07:43:51.583749,1,0,0.0,80.8,0,0,0
SHP000024,ORD000024,Two Day,FC_MTY_01,FC_MTY_01,SORT_QRO_01,LM_QRO,Carrier_B,Jalisco,GDL-MTY,2026-01-07 13:11:28,2026-01-09 13:11:28,2026-01-09 01:59:53.631675,1,0,0.0,89.69,0,0,0
SHP000025,ORD000025,Two Day,FC_PUE_01,FC_PUE_01,SORT_GDL_01,LM_QRO,Carrier_A,CDMX,CDMX-GDL,2026-01-23 13:28:22,2026-01-25 13:28:22,2026-01-25 12:04:33.397554,1,0,0.0,89.17,0,0,0
SHP000026,ORD000026,Next Day,FC_CDMX_01,FC_CDMX_01,SORT_MTY_01,LM_CDMX_NORTE,Carrier_B,Nuevo Leon,CDMX-BAJIO,2026-01-22 03:12:28,2026-01-23 03:12:28,2026-01-23 00:07:27.593602,1,0,0.0,85.54,0,0,0
SHP000027,ORD000027,Two Day,FC_PUE_01,FC_PUE_01,SORT_QRO_01,LM_CDMX_SUR,Carrier_C,Occidente,PUE-CDMX,2026-01-19 19:41:14,2026-01-21 19:41:14,2026-01-21 12:07:45.788125,1,0,0.0,84.86,0,0,0
SHP000028,ORD000028,Next Day,FC_QRO_01,FC_QRO_01,SORT_MTY_01,LM_MTY,Carrier_B,Occidente,CDMX-GDL,2026-03-07 17:03:11,2026-03-08 17:03:11,2026-03-08 09:48:35.197899,1,0,0.0,77.86,0,0,0
SHP000029,ORD000029,Standard,FC_CDMX_01,FC_CDMX_01,SORT_CDMX_01,LM_MTY,Carrier_C,Occidente,CDMX-MTY,2026-01-25 11:24:40,2026-01-29 11:24:40,2026-01-27 14:17:23.452557,1,0,0.0,62.27,0,0,0
